Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,GII,GV
PF3D7_1460600,20109.6335,31602.7074,13619.7739,7387.074,4786.9162,8216.8843,136200.8672,72278.7314,40866.2679,7399.4519,9992.647,11092.1274,28514.6713,39370.8553,40261.9296,7599.767,5966.1765,7715.3882,86762.8991,10809.7285,25368.4589,11881.7266,5520.1098,8842.451,9298.8685,90590.1427
PF3D7_1460700,239299.9849,139090.2007,200094.0397,775202.7734,780665.6141,828204.4603,84189.4529,74966.4616,114721.7883,557311.4795,349941.6796,366085.917,111869.9713,105904.7058,90378.8224,801305.6518,591886.3991,505445.1127,108903.8626,165377.7205,89802.2245,413639.9084,613403.8344,602488.2316,145758.6241,45144.263
PF3D7_1460800,20624.8536,17488.5991,31855.4091,2683.2758,5325.7214,5671.3875,5550.0592,6832.4408,23534.2451,16810.1094,18219.3276,20935.0548,1594.4954,10422.6843,6652.5496,9765.5519,10651.6294,14524.3086,14478.878,21683.0517,16159.1943,2433.7424,11654.9001,2683.5816,20191.8359,15987.3272
PF3D7_1460900,36418.047,23352.5868,32535.5061,292.1343,2786.9488,3629.3845,11767.7212,15610.763,25058.8903,15703.2469,22262.4201,27287.2176,1139.976,16022.6165,8966.0886,8781.7379,14735.2363,13576.0517,26505.935,24324.2727,18078.6737,1344.0718,784.7419,1336.1952,5720.841,7696.741
PF3D7_1461000,2369.7021,3366.3551,8305.1374,190.8822,578.4379,391.6173,1500.3114,1254.9094,5603.4169,3943.2858,3741.2984,2653.4947,89.384,2312.2311,1458.1138,2571.2903,2983.3509,3658.0079,3008.932,5520.0987,1973.7689,208.0005,170.9183,298.124,14710.9564,49800.2985
PF3D7_1461100,21930.6601,26672.6201,16094.2941,558.6715,3218.7217,3523.4427,18479.1731,15287.8522,27025.6913,15937.7848,17187.6561,16213.6705,1685.9175,15007.3496,8687.5889,5994.088,9823.0841,12847.4485,34070.294,24221.2153,20043.7443,1555.7529,1056.0648,1121.844,6705.4153,33028.1877
PF3D7_1461200,11141.6845,12619.9898,14524.7351,56398.6955,54740.82,57357.0214,9255.8517,12384.9027,15298.4211,23884.1004,19356.4399,13330.5197,18514.4205,18615.5337,13946.0794,57360.1728,41818.6532,35764.3761,10547.4293,26896.9171,8112.8786,64840.1334,61030.3599,62014.7977,100092.3419,112625.7889
PF3D7_1461300,208473.5651,119836.0916,129174.6994,268014.7899,323450.8151,319551.5315,120498.742,93290.1118,118949.3384,279161.6806,229728.1404,230059.3097,62317.0892,83960.9464,73829.9739,343459.3292,315551.3814,242006.7468,156416.8651,103502.4791,63311.8763,149632.2338,192668.5663,193679.9699,1048537.6621,512320.7494
PF3D7_1461400,83899.714,143789.1438,47103.4198,3889.9048,1547.8838,2378.0566,301572.6359,246611.9296,104347.9614,8199.8453,28396.884,30185.072,53265.5838,178127.6454,102938.6853,1353.8547,4333.6272,3501.3528,213799.937,85467.972,95570.1488,17425.971,7177.2309,10967.169,96727.4566,950662.7591
PF3D7_1461500,566.2418,1855.795,2438.3153,335.1044,52.6545,106.9454,197.541,3479.71,1848.1842,494.4755,205.8645,286.0395,439.3721,4262.2126,1279.8999,465.6592,499.9373,74.9214,524.0754,1900.7155,1543.5272,397.6147,280.0527,1046.7466,21338.1216,74463.8486
PF3D7_1461600,50388.5652,62279.445,76083.1721,111508.3923,90526.7771,86136.6455,20355.1497,24112.2829,45039.5328,82919.2633,75988.4016,62453.1521,14946.644,34426.5917,24823.1533,72565.7077,68486.5464,70781.7064,24189.9919,107326.9385,54188.7592,125872.421,103056.4192,107866.9401,71032.2508,20426.0299
PF3D7_1461700,6115.4111,17592.9369,2608.3007,1158.1207,1326.8936,1540.0133,8012.2628,8939.6914,15624.9074,2634.5656,7015.8614,5807.7458,1159.9423,13298.1033,14191.5304,862.1347,1019.8721,2966.8882,13877.5165,5426.8704,8626.1118,2821.9283,1461.8753,2788.5329,527264.9849,2317881.7381
PF3D7_1461800,2976.8169,19301.5459,5640.1772,819.3367,722.5277,1414.1455,3507.4388,7349.7555,21701.7671,493.4703,3047.4487,2711.851,2037.0998,13725.5691,13555.3253,547.6969,343.0082,1532.7668,6341.4963,17742.1026,25719.0004,1906.0879,829.7164,2441.7961,27172.9799,73974.0036
PF3D7_1461900,28794.1573,27167.6466,60699.0944,127448.8622,170694.5675,166898.0227,10189.9281,14622.8491,39527.3769,101835.1367,73216.0675,68043.2413,10476.1401,17969.6748,16932.131,140193.4883,140479.1864,153421.5849,16374.3702,46257.2358,28944.9031,102599.1174,139256.509,136158.1622,4558.9082,4173.7669
PF3D7_1462000,5385.3914,4003.9413,6441.7331,2230.9687,1168.4973,1186.6541,1217.7185,292.5036,6835.75,4023.5405,2284.2497,4020.2263,2166.7664,2335.459,946.7753,984.172,616.361,1662.6397,4738.2159,2908.9835,1359.2705,2731.1695,1553.7172,2516.4935,29595.6824,32336.0842
PF3D7_1462100,7822.3977,7354.0814,8226.5348,85.5586,1109.1056,1279.9313,3278.3399,3382.1166,5327.6416,8711.1857,8825.892,9110.6621,327.192,2090.8017,1899.426,2568.91,6169.4388,7914.5713,6188.5499,4497.2908,4597.7405,163.155,67.0339,501.1021,3594.1872,6590.7145
PF3D7_1462200,56568.4784,58607.9336,47323.537,0,7755.9423,12311.7458,20245.8595,31893.4324,50985.482,36488.5217,53385.1951,44914.8664,1780.2947,31379.6372,16107.2152,23878.4216,43135.4785,31821.7622,37973.2595,58300.3648,23650.4426,2112.0272,901.1231,1796.3236,33058.2657,33412.7331
PF3D7_1462300,72172.045,59226.4211,87825.0739,108227.4046,90497.1179,80150.5339,28361.6288,28963.4603,71695.8751,89330.1348,88467.3037,94633.9627,17771.1383,35725.6562,27437.9277,63363.3634,81047.262,94892.7255,41677.6093,75802.1799,53276.7122,132450.8995,141044.3343,112520.4869,25821.6558,44816.9813
PF3D7_1462400,5012.1818,3576.9705,11619.4203,23238.1861,15430.1217,14087.0098,8907.5091,8533.3869,9399.6674,8551.504,7353.4584,5917.9422,32212.2159,15668.4214,21883.4824,7919.05,9397.3986,11971.2936,3292.9761,5097.2179,9436.0549,46869.0987,20635.8411,33961.6781,6854.729,16680.6491
PF3D7_1462500,1144.6475,631.2546,1895.7731,91.1895,42.9854,43.6534,268.7768,710.1807,1671.0342,403.6738,933.6728,1058.594,378.6163,816.1866,766.2372,0,136.0442,468.9196,602.1427,838.2653,600.0408,231.857,76.2087,327.5699,5806.5842,8080.7058
PF3D7_1462600,3326.3217,599.9337,8864.4171,103.9979,245.1158,373.3869,1021.7638,2638.4165,8742.3843,1227.6634,1171.2979,665.7816,568.1535,2633.2635,2581.8671,929.0245,1422.2354,1336.9598,1355.3674,762.7723,4048.9074,88.1412,0,446.672,7128.0363,10642.5192
PF3D7_1462700,233601.1084,170097.7346,246618.1725,2841.1022,7177.0385,8857.8665,63728.443,104958.6448,175279.4095,157307.7111,191409.2113,182219.593,6638.3389,87560.6718,50959.494,30585.9984,80533.3753,85263.8338,134550.6611,161190.3614,106129.476,7779.4181,3515.8794,8567.3932,120026.934,52790.5563
PF3D7_1462800,3997328.5662,2247136.7586,4947430.7812,3910241.5107,2906137.2456,3822637.7028,993241.3967,1066835.0183,2981787.4819,7210685.8414,7346172.5087,4648313.9195,460889.881,1053235.8798,868157.5672,5876191.9386,8737814.5799,7232862.4189,1628227.3323,3448784.5312,1993799.2465,2375699.2825,5843326.8658,4060172.1324,593840.5082,55049.2509
PF3D7_1462900,3961.5331,2357.8505,7241.9895,10775.635,8125.2287,7856.2025,1642.7947,1607.6689,6225.089,4340.6218,3931.2929,4810.3972,473.6557,1385.7296,2069.6534,7406.9723,7314.2775,7442.1431,3174.584,2573.8996,3226.0578,8424.0897,10480.4129,11534.0942,3560.0049,10585.6048
PF3D7_1463000,10261.213,14031.0576,10710.0326,9177.3135,12827.7787,12038.8409,5421.0068,5182.0652,7362.3896,8640.2443,12451.7904,8698.6621,3568.0184,8023.1444,4677.1701,17324.0611,15049.4499,8811.5423,12278.431,9305.1571,5310.2054,7109.9829,11527.9952,9804.7,18672.5162,259464.7592
PF3D7_1463200,114372.0468,80418.4623,106166.0845,1466.9994,9625.2535,19233.2952,32215.1103,37521.7318,80273.825,154570.1863,156617.5811,150806.2374,5588.4199,30771.2325,26387.4198,55292.2895,117415.1563,121354.972,73340.7,90032.5306,55918.3151,4973.2952,2029.5233,6532.9922,15428.5279,11146.7092
PF3D7_1463300,33170.5804,18727.4997,38164.2877,429.4171,4588.2145,4762.292,8944.1913,8664.7437,27503.3313,41250.1004,42208.5688,36287.7818,750.7069,8850.1092,5453.3942,20075.2176,29416.1009,37778.9573,19624.8451,21920.9236,15635.1588,1055.4353,403.7305,1542.5478,5696.5797,9851.1727
PF3D7_1463400,12164.4706,7611.1087,20190.8377,74947.9982,61401.823,57860.1525,8056.672,4865.1872,11206.8339,27377.6698,21623.5878,17948.7971,4905.3945,9549.5143,6474.0255,48290.456,41520.1078,39689.3853,7761.6229,16845.1013,6732.3463,87166.0586,70972.0982,82282.2316,16003.5912,24316.2837
PF3D7_1463500,45881.5045,32236.5986,38828.8375,33277.2616,4946.1741,10452.6874,25890.4377,27239.2808,40696.0856,28134.9688,39750.6708,37796.451,14412.8015,24502.7795,18263.3832,3511.2897,14163.2332,15282.1824,35919.4816,30285.4456,20877.7282,98889.8594,53522.5037,53705.5914,35528.1846,24206.2498
PF3D7_1463600,10251.7825,5325.9424,4414.5591,2031.1427,4932.3306,2504.486,2902.6432,1743.0829,8212.8003,2997.1271,16070.0332,9456.8159,0,1087.2991,528.9382,5131.7541,9182.5215,10320.8079,6256.8185,1625.1719,1215.0214,312.9912,1157.3608,1874.5309,46541.0561,48174.1663
PF3D7_1463700,15570.207,10418.5512,24685.6564,37352.2996,39618.8498,34199.2995,5300.1926,5604.5821,19717.1079,20852.5741,20473.0422,22473.4722,2306.4898,5386.4644,6214.9386,27180.3374,30618.3235,29169.8271,9832.782,14221.2783,12732.9201,16101.9045,33935.7485,33244.2102,32411.6802,121991.0881
