Gene,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_1020800,259745.6855,1064435.3667,78741.6496,189760.7291,114254.8106,226324.693,198375.1583,302070.423,1021098.0525,152528.1814,157558.9041,152779.4855,122034.3416,127480.6853,72174.5406,243862.9606
PF3D7_1020900,63349.0746,198924.8385,65930.2756,55969.3966,20678.5154,47021.6712,64393.3877,55035.6459,175019.1805,56486.8215,57869.7355,48204.7852,42141.7885,45470.0801,10352.6333,69091.9655
PF3D7_1021000,80987.0368,55678.5363,55954.7862,59106.8498,75157.9006,29501.0222,58527.8682,41105.2564,38613.4711,37499.051,79897.3849,34255.1646,55001.4663,45892.1718,5407.2205,0
PF3D7_1021100,1382.8328,497.1533,6287.5819,2867.3571,12843.58,4187.192,1782.8748,1839.3616,4629.5384,6475.1567,0,5093.4877,1825.8548,930.5214,194.9123,0
PF3D7_1021200,88957.6272,55208.6381,181533.8549,78193.757,2993.5777,57999.2814,63828.7756,81551.66,3385.2593,235378.5208,1092.2486,55258.2312,54472.9203,60843.6558,227029.3933,40425.8557
PF3D7_1021300,18469.505,63745.1498,41447.5614,17233.7536,45297.936,1597.8663,19526.3153,7574.835,74927.5582,21227.8961,50462.917,22264.383,12415.013,8699.815,19785.1118,142151.5028
PF3D7_1021400,29823.0699,42887.7237,42932.5569,46522.61,23563.6396,61158.0636,42580.52,31098.4325,66562.4215,48273.1877,305299.772,213781.1113,20285.4155,28690.136,13544.9528,533692.0348
PF3D7_1021500,8398.3355,16835.18,1791.731,6926.1311,221.5986,26420.7839,5118.6457,7278.0526,9322.0479,1733.3537,0,2045.236,5865.2213,8220.1026,8393.9195,0
PF3D7_1021600,111890.8051,223646.9327,265247.6322,455458.5408,120316.5224,142879.6141,159910.2219,149745.7838,167823.937,165446.0793,29382.7047,157056.6568,163943.6137,140027.187,146421.6869,127110.4627
PF3D7_1021700,2355.0826,4292.155,12558.5571,13731.4128,1895.0002,1452.4542,6974.6746,3990.6925,2791.9488,10270.0644,118.5287,1124.3465,5329.1214,5548.221,14198.3599,15952.4889
PF3D7_1021800,55452.176,63978.9263,176828.2356,196646.5405,13415.6242,72877.5252,88366.9747,60874.8129,20790.462,97719.2524,50744.5286,80225.9274,63688.8424,63604.55,83808.2807,70166.9624
PF3D7_1021900,39635.3805,41361.7677,51652.4111,92852.6319,3054.1636,3236.8195,52156.7621,79106.8442,24222.4561,36697.3865,71021.5043,8143.2839,43730.5237,50352.3829,21489.7116,59991.3003
PF3D7_1022000,5608.6869,2470.5735,27302.9855,18309.1219,1407.9133,13638.8572,7504.8478,11896.2185,2149.3695,8603.7176,10017.0872,2842.4996,6695.9344,6773.0499,2563.9549,0
PF3D7_1022100,18813.2395,6937.1267,38207.1844,28507.2909,2520.217,10016.0247,7090.1434,13474.5949,5129.9348,28748.484,69884.7579,0,16328.7139,10127.6875,1223.8865,6187.9091
PF3D7_1022200,5247.3263,25512.7797,0,8354.6953,6092.0648,5188.1819,15463.6214,9638.6059,0,10211.2274,28578.5326,11044.4888,2879.3463,5044.2518,2535.8347,0
PF3D7_1022300,6493.9311,8076.7489,7002.0814,18378.4737,3667.7937,7288.4027,10318.6287,11984.0294,26545.2168,23708.8004,16951.1115,14104.903,10786.4816,13227.5891,989.5451,0
PF3D7_1022400,68568.8986,31669.4071,117456.9952,71436.064,3873.841,35794.9864,52483.9324,45270.2576,24969.9716,65526.6729,52579.4052,53630.2096,35725.9755,40055.939,45714.2157,0
PF3D7_1022500,21888.8348,21153.0291,31231.907,19788.8813,193542.3546,38782.6754,20590.1096,27950.6121,12690.524,22064.4078,437941.7617,64734.3235,15638.2972,15836.8433,4936.4221,503159.4098
PF3D7_1022600,204822.6072,356373.3477,157735.2763,105705.5933,1017983.5166,257990.2242,222245.9009,229079.9962,805602.3098,135051.1656,567123.9499,427255.3012,258671.6484,308760.6657,258347.5967,386526.3731
PF3D7_1022700,26964.0613,50825.3847,30566.8323,19426.7104,50671.4238,72750.5511,30168.5506,25329.0849,56161.2789,29830.3127,173072.5511,189761.406,32036.8669,23618.4414,106417.487,719125.6982
PF3D7_1022800,2270.2643,9866.962,23619.9556,7845.8007,1405.7289,6285.0908,2809.9516,1476.332,715.3449,11167.4798,0,15406.7716,2470.7452,162.9528,30207.7283,0
PF3D7_1022900,62746.894,12744.9937,102952.395,59816.6488,43523.6975,71766.207,31536.9179,30178.4123,12147.5115,24748.6064,32436.2097,48431.9593,36765.1721,24618.1483,18887.7588,0
PF3D7_1023000,91237.57,212713.0827,8515.9159,19885.883,109235.5784,77139.1161,68440.3447,42061.8455,223779.7045,102097.9889,104087.0656,73600.3379,56251.4041,70603.8316,6722.3099,0
PF3D7_1023100,2861.4581,3979.3242,54939.2825,6454.9563,11682.1404,5223.1488,4248.7235,4712.3647,5102.6093,39763.7979,13106.8546,3369.3714,6371.2161,6398.5933,148034.2232,0
PF3D7_1023200,50919.354,82567.2507,39832.1648,21833.5718,66414.927,39157.5519,32419.7042,23691.5232,95077.5956,21051.185,14379.6729,85883.7381,72439.0914,59898.7611,2835.4207,161277.1395
PF3D7_1023300,50411.4832,191959.5067,31658.9865,51528.9486,98369.2453,122853.1486,58343.0259,56665.6433,162944.7603,54807.0852,223769.7844,97636.7891,80681.155,73386.9878,33359.5,0
PF3D7_1023400,233417.1237,569294.5236,110086.2388,143949.7812,138230.8333,260775.3632,305071.9204,213667.3377,795139.2862,116336.7623,339002.8086,352257.076,484649.7603,425745.9723,238774.1822,434989.5881
