Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_1447300,10032.167,31044.231,26849.132,6043.27125,8570.201,11865.339,29838.648,28509.542,16340.494,16375.092,8361.164,30677.605,42100.076,81423.099,879.3719
PF3D7_1447400,10725.312,24378.22,34965.6,9112.5857,30668.971,54747.335,33001.997,13414.642,5294.466,4876.626,7749.772,32142.976,28456.294,70600.945,3439.4991
PF3D7_1447500,0.0,1126.43,8479.125,52486.0867,6744.822,1916.868,517.158,1537.918,11049.099,13675.406,31356.354,43007.609,40188.221,113060.389,0.0
PF3D7_1447600,0.0,23984.39,30972.72,5023.75665,360.428,222.454,530.459,2170.049,5590.704,2916.172,5847.329,133546.516,181231.806,207675.224,108782.2072
PF3D7_1447700,25748.02,7957.852,47592.309,5822.906849999999,7643.814,10720.484,13585.104,28881.558,30793.573,14275.8,13000.266,30451.239,13469.792,40788.323,3276.216
PF3D7_1447800,4312.621,19479.431,13949.493,3858.77215,8659.745,11448.651,9949.684,8938.321,7583.03,7632.548,5311.964,15771.478,16649.648,12796.513,17440.6766
PF3D7_1447900,10930.441,19201.079,21829.722,12707.2039,6959.395,60139.762,99667.757,49158.541,29431.046,18010.434,21096.773,28777.032,29777.982,12968.518,12690.9817
PF3D7_1448000,38399.055,18182.416,16725.051,9314.181199999999,68099.135,70849.077,45503.833,21791.271,16429.531,10812.095,9437.725,29249.685,20207.283,30810.103,42031.8868
PF3D7_1448100,2421.8,6080.718,5500.82,2492.0621,9407.496,13707.691,10687.825,7757.738,9750.748,7364.948,5113.539,2846.964,2184.438,4461.195,4245.6694
PF3D7_1448200,0.0,684.002,955.557,1545.5047,567.222,377.977,443.463,1043.569,2987.138,2197.814,2544.884,14310.227,19566.831,7540.597,47067.4296
PF3D7_1448300,26477.991,12706.149,15278.6,18035.65795,13357.704,17817.066,24757.609,52050.867,37013.612,40159.227,29619.547,51693.416,34749.757,22305.433,47108.8418
PF3D7_1448400,48233.564,69183.512,82942.99,21608.74065,4425.484,17029.103,49789.121,80880.824,82649.258,48447.278,40465.404,62347.064,64327.969,41715.299,17389.6773
PF3D7_1448500,41384.977,22962.526,33001.209,41664.2133,3056.559,5246.484,31471.287,63197.581,91163.972,99568.838,53393.627,10726.421,6967.48,6768.037,20551.4618
PF3D7_1448600,1061.866,6827.078,9405.192,19343.6355,25641.974,43311.449,41004.313,37781.419,37270.219,34117.382,31687.958,146102.605,184083.939,271649.702,32577.348
