Gene,Day2_R1,Day2_R2,Day2_R3,Day4_R1,Day4_R2,Day4_R3,Day5_R1,Day5_R2,Day5_R3,Day6_R1,Day6_R2,Day6_R3,S1,S2,S3,S4,S5
PF3D7_0106300,5527.7917,0,0,15904.2475,51402.6775,180482.1888,58225.115,129411.9421,93073.9398,41468.0933,66702.4731,104282.7374,67878.319,126904.8427,92554.9169,68943.2708,113402.8008
PF3D7_0106400,0,0,0,734187.6086,71723.2071,174846.9798,173496.5988,164311.8315,178720.846,138362.7132,89732.25,119364.9558,9479.2024,22585.2493,8250.2414,11842.7282,14422.5953
PF3D7_0106500,0,0,0,0,16910.4424,0,5476.9578,19827.1659,13436.5579,18761.4089,37118.0669,11889.5515,553.9934,670.7946,162.9762,2085.9881,470.8092
PF3D7_0106600,0,0,0,0,0,151810.6579,11092.4486,2918.1176,4545.3775,1197.3413,2367.7335,774.867,477.8887,578.6443,120.5035,7711.8248,609.1978
PF3D7_0106700,0,0,0,27202.89,84707.9658,0,63374.9499,60450.5388,62764.8623,43097.1656,37721.7008,53564.7375,7241.733,20295.73,3118.666,12474.0227,5808.6087
PF3D7_0106800,0,0,0,5382.2701,8535.1985,0,2740.3439,23069.0872,16675.315,39710.9143,21841.8649,20123.8385,885.4532,1500.9928,1116.3707,2000.4334,1354.4983
PF3D7_0106900,0,0,0,106121.6706,11219.176,9243.3309,15008.6335,13621.8351,16743.7053,26281.4587,20378.6064,14920.5198,436.4598,176.1603,146.7424,1878.2067,185.4618
PF3D7_0107000,67699.9874,0,0,6956.5196,42655.6816,218131.7764,27744.5825,101096.6338,91326.6109,68128.6551,140168.5064,124420.34,5264.4135,13302.9618,5540.7194,8680.0142,5543.7973
PF3D7_0107100,0,0,0,0,13169.0482,107221.6016,37928.594,12513.3535,11809.4366,25490.7374,17415.5019,15245.5739,26760.9611,51377.8997,31004.2819,38516.2805,41490.0621
PF3D7_0107200,0,0,0,0,11879.7428,0,39095.1008,15239.1286,22066.6929,33209.3733,7877.8654,32747.0507,8503.704,19250.1317,8623.7231,10441.1604,16496.0488
PF3D7_0107300,0,0,0,23220.0128,41731.9097,177979.3237,53200.3568,28768.6269,52925.6265,29988.8922,7610.8407,35821.2941,632845.5602,977805.6402,1091096.2356,774663.5425,851532.4929
PF3D7_0107400,110370.1879,0,0,189018.3442,49557.8569,0,65441.3791,51141.1241,50280.1131,95112.992,87654.4017,71596.6809,26120.6144,31627.7531,33434.4414,21276.5093,50105.1961
PF3D7_0107500,22448.3941,0,0,78427.364,46821.6605,28931.8109,36668.4108,48918.8234,64222.8222,49377.1784,27570.354,43782.253,22667.6031,49624.6614,20719.8394,31272.0807,21994.4727
PF3D7_0107600,22289.5766,0,0,22903.6787,3389.9255,86181.374,8745.9317,7746.0727,10393.136,7174.8067,1773.5159,5355.997,163830.5638,200652.9583,162052.3565,276295.7035,171476.7311
PF3D7_0107700,0,0,0,0,0,0,3307.4996,326.292,2592.0524,1686.9109,4343.0315,1906.1343,12503.9214,16693.0247,18513.5577,4915.1373,18800.5714
PF3D7_0107800,0,0,0,85612.5321,11547.7653,0,17535.8051,23626.1088,31411.7134,43878.9711,38899.7675,31315.4837,27974.477,50103.0355,30175.3953,38873.3158,32441.6077
PF3D7_0107900,396340.5451,0,0,12531.0818,55640.9756,0,46787.4705,38603.9146,47843.3697,57952.582,112321.1283,26406.8286,2061.5255,3993.8674,1143.6264,3326.7421,4204.751
PF3D7_0108000,69667.1471,0,0,443836.6269,46165.5662,149646.6902,102661.2338,130402.3158,71577.3602,100854.4061,103024.2402,111358.8487,1884.3066,3992.7726,1306.6433,3990.9962,2101.7992
PF3D7_0108100,127811.3418,0,0,11674.0163,11107.586,0,7429.6762,6645.4466,18540.8528,11211.5997,26597.5355,12118.7136,1344.369,930.1765,242.1382,5733.5366,734.4687
PF3D7_0108300,28605.7,0,0,56174.8525,63117.0317,0,47003.2261,44969.862,51717.4825,57896.7398,47195.6966,52805.8761,94005.3156,106018.0005,107162.0309,96277.2137,110081.7068
PF3D7_0108400,0,0,0,4430.7388,2810.5045,0,9775.4739,11275.7307,13865.9463,14756.3476,5951.2191,32442.8566,4665.0496,11120.6915,4852.3598,6822.3612,7061.8986
PF3D7_0108500,0,0,0,0,415.5407,0,1667.6887,658.0844,2583.1482,1004.4763,395.3603,454.3383,1681.2417,1252.7423,521.7705,6365.2733,824.3059
PF3D7_0108600,0,0,0,160073.0482,36263.3829,0,40361.9217,39664.7654,33563.4336,30350.6094,29350.733,29909.7087,1203.8442,1822.0709,645.0628,2549.7643,1150.9677
PF3D7_0108700,24451.1981,0,0,7537.4565,64545.6118,0,15990.1727,25660.101,34989.4361,41258.5789,37947.2431,19971.9478,37448.2832,70467.8986,44066.7951,54161.435,61859.0721
PF3D7_0108800,0,0,0,0,9007.0356,0,3143.2975,23939.1886,15649.638,18108.114,16069.6361,12449.9698,6337.685,16085.6552,5992.8677,7867.1552,8545.1873
PF3D7_0108900,0,0,0,0,6913.6533,0,0,729.9354,1705.4651,0,170.118,0,565178.747,3473.7979,180.8558,578.7087,914.3052
PF3D7_0109000,0,0,0,0,9227.4473,118597.0026,3703.2499,6722.1389,6760.4135,3022.0062,2043.4632,2076.0022,201457.068,153695.8193,330537.5609,90600.7961,286281.4288
PF3D7_0109100,0,0,0,0,0,0,0,1289.134,1255.0044,1639.7398,2386.8633,2396.1858,25756.2033,26968.6635,6095.3728,17971.1097,11841.488
PF3D7_0109200,0,0,0,118273.4349,23340.5381,0,177308.7428,105347.3951,77851.8039,116286.06,134431.8018,112315.0097,0,314.1312,0,209.3276,330.7179
PF3D7_0109300,16571.8409,136831.7939,0,122604.5748,50406.7959,0,138140.3007,85530.3783,156779.8386,82204.693,114622.7842,195560.6858,672.3348,271.3621,282.5577,2350.7589,571.3811
PF3D7_0109400,0,0,0,258419.9779,171509.7861,15005.8033,196749.8601,111771.6062,128496.9971,134329.3168,327948.3361,134387.2807,34246.9366,41753.3701,53064.5157,41353.6535,65635.9554
PF3D7_0109500,0,0,0,0,41233.5072,0,59717.5498,12492.3227,21758.1908,50325.6535,18836.1901,21222.3415,13111.8377,19929.7876,21525.83,15981.7553,25249.6664
