Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_1115700,106.3349,123.5812,209.5247,408.7601,2324.47,1898.7646,399.8229,198.7431,190.3186,347.5526,220.3274,191.1943,417.3519,191.07,477.44,2392.6745,1312.0093,1208.085,110.8551,145.4208,112.2137,247.3007,267.9529,322.2741
PF3D7_1115800,54.2997,172.6528,59.466,405.5562,125.2234,131.2836,1773.3541,1277.8666,282.2593,19.7575,49.7743,38.2444,9511.2953,1878.0412,5026.8768,46.1848,38.6335,25.5671,237.6659,136.6626,189.0319,1246.4905,620.4533,609.7736
PF3D7_1115900,51.6049,82.8806,29.9036,24.6839,6.52,7.7852,161.3587,167.5573,100.0593,11.8092,26.0882,29.8821,763.8863,151.763,437.5769,7.2593,8.1262,7.93,115.0476,36.7417,52.8902,99.2164,29.3926,42.202
PF3D7_1116000,673.5805,512.0844,337.9775,10.101,2.226,5.8176,734.1891,735.5695,716.8534,18.7782,114.7452,334.5472,68.6195,527.5867,309.4184,3.5435,7.186,8.6692,1014.1932,201.6426,1104.9722,61.6933,16.511,33.4084
PF3D7_1116100,355.4017,330.4101,345.1025,10.2812,9.2694,11.7276,425.5504,358.3982,347.15,135.3141,153.8181,243.9261,140.8985,268.9401,285.8156,14.8324,44.1672,70.3794,433.3589,216.3075,562.2611,87.1879,13.1633,31.0026
PF3D7_1116200,35.063,55.0659,39.5788,64.5973,47.7849,46.3669,48.9164,131.8636,69.1995,27.0684,35.1741,21.2438,57.2355,205.1401,89.7592,54.232,39.3451,24.2986,37.8851,43.3172,41.9821,65.8913,79.076,68.7574
PF3D7_1116300,126.2853,126.8333,114.3113,190.4689,122.862,128.6399,75.912,79.735,117.963,127.8683,148.6963,109.8452,31.7458,102.2418,70.0712,159.0788,167.6658,137.586,92.4215,173.9756,91.4306,178.0898,255.5099,193.7101
PF3D7_1116400,122.4996,113.8541,102.7993,119.4344,118.7518,114.2865,108.2922,112.6948,139.0201,131.965,124.5771,120.7377,25.7372,105.8639,79.4517,106.8914,111.7242,123.4603,149.235,94.0909,108.2398,104.9409,115.0886,126.7735
PF3D7_1116500,213.2779,166.5613,153.9768,14.8329,53.0845,46.8992,188.8879,189.7391,192.0964,106.8635,144.2657,165.1371,19.788,155.2218,101.5119,61.1187,82.4918,86.7286,253.0506,53.0158,153.6283,18.5831,11.4568,18.4036
PF3D7_1116600,180.042,288.1644,279.1619,19.4625,75.6068,59.8931,77.4313,122.6855,239.0287,220.2732,274.3243,242.0252,14.372,128.4269,83.5966,98.054,161.5204,201.8978,151.9182,425.6663,164.9131,20.3005,18.9972,22.2852
PF3D7_1116700,317.2646,479.7199,512.3053,1455.3815,2782.1737,2357.6946,674.3449,1032.6048,506.1142,740.9864,650.963,453.9318,1131.9228,1088.2858,880.4195,1948.1568,1104.1165,976.1917,339.4795,767.485,493.443,1358.7256,1257.4375,1281.4207
PF3D7_1116800,74.6688,169.7243,117.1793,1499.7874,858.4307,894.9229,1586.62,831.4521,294.0579,80.1799,129.2116,73.74,3367.5821,1076.4723,2879.1578,352.0412,192.8416,150.1038,304.405,128.7409,229.8195,1304.2049,1014.3541,1235.3522
PF3D7_1116900,53.9896,115.3252,35.7687,2.947,0.6632,1.4783,64.348,160.9878,68.5666,3.3636,14.9899,14.8261,12.012,142.5294,29.6474,0.5908,0.7548,1.1764,72.0533,80.8866,44.0782,4.0426,0.2215,1.705
PF3D7_1117000,36.6089,31.6151,36.332,0.1368,1.1318,2.4559,11.2023,13.7006,41.1499,36.775,45.382,42.1818,0.3471,12.6999,12.4974,5.3126,21.6705,28.4489,22.2367,8.9291,31.6467,1.314,0.4319,2.2168
PF3D7_1117100,314.2002,233.6142,289.9956,5.0788,9.5309,20.8643,112.3779,98.0317,228.3347,186.614,276.5684,319.9182,14.7751,92.3565,64.924,67.9139,116.582,147.4274,288.5648,233.4661,222.1217,15.1634,5.8152,11.9783
PF3D7_1117200,27.8178,17.6264,29.8083,0.3742,1.3055,1.5852,8.3653,19.822,25.541,9.7077,8.865,8.1818,16.6097,39.6933,17.2361,1.9505,3.2587,5.2585,14.1143,19.9342,32.8051,1.7601,1.4063,1.5589
PF3D7_1117300,145.9879,115.4508,85.4782,284.7997,129.5867,88.3405,291.9126,144.5415,156.576,71.9503,152.5105,129.5906,316.8487,158.3894,279.7982,44.2665,50.741,50.9124,225.855,59.5452,83.8114,332.0368,202.4051,295.5178
PF3D7_1117400,388.2571,421.9831,356.6238,37.0863,86.7893,75.9773,379.9701,726.3245,363.2642,221.1748,195.7721,232.4203,125.5239,639.3664,306.4248,126.7898,144.0959,151.1869,426.9955,319.3057,347.2695,55.4987,29.2298,58.2215
PF3D7_1117500,98.0377,57.2276,174.4623,7.9113,65.1278,50.112,40.829,53.1055,175.7506,128.4432,107.9388,138.3924,11.8026,58.8024,46.5973,56.3047,103.6384,160.8999,61.0059,80.6545,114.0989,11.9164,3.101,10.5543
PF3D7_1117600,118.5302,96.7237,168.7346,5.6904,18.4012,23.8372,36.621,63.8397,123.5692,101.8041,132.2283,89.9759,6.8361,52.0669,33.9429,46.2285,97.7203,90.8847,59.0282,120.6668,78.193,7.532,4.8843,8.0053
PF3D7_1117700,2208.9431,2814.532,2264.0324,1607.0719,1555.0228,1630.0103,1028.6027,1318.7507,1923.5204,2238.598,2331.0587,2035.5532,501.4447,1362.6502,857.7206,1910.497,2006.0665,1679.2079,1692.2535,4318.1317,1686.7397,1557.1853,1961.1383,1471.2588
PF3D7_1117800,101.4429,131.8458,184.2562,80.045,78.2368,80.9687,58.9416,93.4665,176.3901,87.2368,130.3352,125.4774,11.9713,83.4758,62.9364,55.2888,94.7201,113.4973,115.6239,150.364,148.7691,51.8001,73.5356,91.7587
PF3D7_1117900,109.6701,147.9287,137.654,16.1825,20.3054,16.5532,49.3395,97.292,140.104,44.1521,72.92,88.352,9.6685,109.2219,46.7412,18.3895,30.7473,40.4071,105.2484,142.5749,188.8958,18.0246,14.6253,19.7874
